Sentence,Emotion,Tokenized_Sentence,tokens_length
nhớ nhé đồng nghiệp haha,Enjoyment,"['nhớ', 'nhé', 'đồng nghiệp', 'haha']",4
hình như đa phần vậy,Other,"['hình như', 'đa phần']",2
may là tao dán kính cường lực,Enjoyment,"['may', 'tao', 'dán', 'kính', 'cường lực']",5
đau lòng lắm khi tối nay chồng tương lai của tao lại cống hiến sức lực để chăm sóc vợ thằng khác .,Sadness,"['đau lòng', 'lắm', 'tối', 'nay', 'chồng', 'tương lai', 'tao', 'cống hiến', 'sức lực', 'để', 'chăm sóc', 'vợ', 'thằng', 'khác']",14
"đang tính đi nhổ răng khôn à quên , nó ngu chứ khôn đéo gì . nghe được cảnh báo này chắc không dám đi nhổ luôn .",Fear,"['tính', 'nhổ răng', 'khôn', 'à', 'quên', 'nó', 'ngu', 'chứ', 'khôn đéo', 'gì', 'nghe', 'cảnh báo', 'chắc', 'không', 'dám', 'nhổ', 'luôn']",17
đáng yêu quá . phải thằng trai nhà tao thì nó sẽ nhẩy vào tính ôm luôn cái máy ấy về cười,Enjoyment,"['đáng', 'yêu', 'phải', 'thằng', 'trai', 'nhà', 'tao', 'nó', 'nhẩy', 'vào', 'tính', 'ôm', 'luôn', 'cái', 'máy', 'ấy', 'về', 'cười']",18
thôi tốt nhất đừng có diễn . nể nhất mấy bố giả vờ khóc xong ôm ôm lợi dụng rờ mông con gái nhà người ta,Disgust,"['tốt', 'nhất', 'đừng', 'diễn', 'nể', 'nhất', 'mấy', 'bố', 'giả vờ', 'khóc', 'xong', 'ôm', 'ôm', 'lợi dụng', 'rờ', 'mông', 'con', 'gái', 'nhà', 'người', 'ta']",21
đọc tưởng ba ông cháu vãi cả dòng trạng thái,Surprise,"['đọc', 'tưởng', 'ba', 'ông', 'cháu', 'vãi', 'cả', 'dòng', 'trạng thái']",9
toàn lũ chó thèm khát,Disgust,"['toàn', 'lũ', 'chó', 'thèm', 'khát']",5
may là chưa húc vào ai khác,Enjoyment,"['may', 'chưa', 'húc', 'vào', 'ai', 'khác']",6
per về xem anh đùa đái ra quần chuẩn mẹ rồi,Fear,"['per', 'về', 'xem', 'anh', 'đùa', 'đái', 'quần chuẩn', 'mẹ']",8
nếu vậy thì nên cưới và đuỵt chị em trực hệ nhé đỡ bị phá adn,Disgust,"['nếu', 'cưới', 'đuỵt', 'chị em', 'trực hệ', 'nhé đỡ', 'phá', 'adn']",8
em ấy còn cười được chứng tỏ em rất mạnh mẽ,Enjoyment,"['em', 'ấy', 'còn', 'cười', 'chứng tỏ', 'em', 'mạnh mẽ']",7
cài lò xô huyền thoại,Enjoyment,"['cài', 'lò xô', 'huyền thoại']",3
admin đăng mà không nghi nguồn ở đâu ra đúng là ăn cắp bản quyền,Disgust,"['admin', 'đăng', 'không', 'nghi nguồn', 'đâu', 'đúng', 'ăn cắp', 'bản quyền']",8
khi nào lên chùa ba vàng giải được vong thì kết hôn cười,Enjoyment,"['nào', 'lên', 'chùa', 'ba', 'vàng', 'giải', 'vong', 'kết hôn', 'cười']",9
những bạn đằng sau làm sao tập trung thi được,Disgust,"['bạn', 'đằng', 'sau', 'làm sao', 'tập trung', 'thi']",6
khi nào nha anh sẽ lắp hả per,Other,"['nào', 'nha', 'anh', 'lắp', 'hả', 'per']",6
per cách này coi bộ hay nha cười_chảy_nước_mắt,Enjoyment,"['per', 'cách', 'coi bộ', 'hay', 'nha', 'cười_chảy_nước_mắt']",6
sợ nha,Fear,"['sợ', 'nha']",2
"phim hay dã man diễn viên chính đẹp trai , xem đi xem lại không chán",Enjoyment,"['phim', 'hay', 'dã man', 'diễn viên', 'chính', 'đẹp trai', 'xem', 'xem lại', 'không', 'chán']",10
ông định làm gì anh vợ tôi ?,Other,"['ông', 'định', 'làm', 'gì', 'anh', 'vợ', 'tôi', '?']",8
thế mày nằm viện nào tao vào thăm luôn cho động lực,Other,"['thế', 'mày', 'nằm', 'viện', 'nào', 'tao', 'vào', 'thăm', 'luôn', 'động lực']",10
nó quan tâm mày vì nó muốn mua chuộc mày để tán con bạn thân của mày,Disgust,"['nó', 'quan tâm', 'mày', 'nó', 'muốn', 'mua chuộc', 'mày', 'để', 'tán', 'con', 'bạn', 'thân', 'mày']",13
i am very posay yêu_thương,Enjoyment,"['i', 'am very', 'posay', 'yêu_thương']",4
diệp ngọc miutokol dautay đây là gì ?,Other,"['diệp', 'ngọc', 'miutokol', 'dautay', 'đây', 'gì', '?']",7
yên tâm em trông khôn hơn em chắc tầm 3 năm,Enjoyment,"['yên tâm', 'em', 'trông khôn', 'hơn', 'em', 'chắc', 'tầm', '3', 'năm']",9
lại quên thế hỏi giáo viên có quên ăn cơm sang ăn nhầm cứt không sao quên khôn thế quên ăn người à,Anger,"['quên thế', 'hỏi', 'giáo viên', 'quên', 'ăn', 'cơm', 'sang', 'ăn', 'nhầm cứt', 'không', 'sao', 'quên', 'khôn thế', 'quên', 'ăn', 'người', 'à']",17
"các bạn trẻ thấy cái gì cũng có mặt : giờ trái đất có , thử thách nhặt rác có , vứt rác bừa bãi có . toàn thấy các trẻ trâu tham gia .",Disgust,"['bạn', 'trẻ', 'thấy', 'cái', 'gì', 'cũng', 'có mặt', 'giờ', 'trái đất', 'thử thách', 'nhặt', 'rác', 'vứt', 'rác', 'bừa bãi', 'toàn', 'thấy', 'trẻ', 'trâu', 'tham gia']",20
lỗi đạo cụ,Disgust,"['lỗi', 'đạo', 'cụ']",3
sợ đến lúc đó muốn lấy vợ phải sang nước khác nhập khẩu về quá,Fear,"['sợ', 'lúc', 'muốn', 'lấy', 'vợ', 'phải', 'sang', 'nước', 'khác', 'nhập khẩu', 'về']",11
anh đã mơ về một ngôi nhà và những đứa trẻ,Enjoyment,"['anh', 'mơ', 'về', 'ngôi', 'nhà', 'đứa', 'trẻ']",7
sao lại ga lăng z được ta,Surprise,"['sao', 'ga', 'lăng z', 'ta']",4
cũng dể thương đấy chứ,Enjoyment,"['cũng', 'dể thương', 'đấy', 'chứ']",4
thứ mất dạy,Anger,"['thứ', 'mất', 'dạy']",3
ủa mà ý là thuế mới này tính ntn vậy ấy mọi_người em không bán hàng nhưng bố mẹ em ở nhà có mà về quê thấy trên bàn ăn bố nhậu bố bảo thuế gì mà 10 bát phở 25 k thuế 25 k là gì ấy nghe hoang mang quáai hiểu giải thích cho em với,Other,"['ủa', 'ý', 'thuế', 'mới', 'tính', 'ntn', 'ấy', 'mọi_người', 'em', 'không', 'bán', 'hàng', 'nhưng', 'bố mẹ', 'em', 'nhà', 'về', 'quê', 'thấy', 'trên', 'bàn', 'ăn bố', 'nhậu', 'bố', 'bảo', 'thuế', 'gì', '10', 'bát', 'phở', '25', 'k', 'thuế', '25', 'k', 'gì', 'ấy', 'nghe', 'hoang mang', 'quáai', 'hiểu', 'giải thích', 'em']",43
khôn hơn con nguyễn yến nhi le trung hau,Enjoyment,"['khôn', 'hơn', 'con', 'nguyễn', 'yến nhi', 'le', 'trung hau']",7
áo sơ mi trắng mặc cả ngày thì nó cũng dơ và hôi vãi ýk cười,Disgust,"['áo', 'sơ mi', 'trắng', 'mặc cả', 'ngày', 'nó', 'cũng', 'dơ', 'hôi vãi', 'ýk', 'cười']",11
tao gửi từ ngã tư đồng đội cơ mà đi xa vãi,Other,"['tao', 'gửi', 'từ', 'ngã', 'tư', 'đồng đội', 'cơ mà', 'xa', 'vãi']",9
vì những thành phần như bạn mà page cứ phải khóa bình luận cho trong sạch đấy . thật là giông bão hài_lòng,Disgust,"['thành phần', 'bạn', 'page', 'cứ', 'phải', 'khóa', 'bình luận', 'trong sạch', 'đấy', 'giông bão', 'hài_lòng']",11
minh thi thì có ổn không vậy,Fear,"['minh', 'thi', 'ổn', 'không']",4
còn người yêu tao : một hơi có một anh đẹp trai bay lơ lửng rồi ôm lấy em khi em tắm buồn,Enjoyment,"['còn', 'người yêu', 'tao', 'một hơi', 'anh', 'đẹp trai', 'bay', 'lơ lửng', 'ôm', 'lấy', 'em', 'em', 'tắm', 'buồn']",14
hẳn lớp đó nhiều nữ lắm ha,Other,"['hẳn', 'lớp', 'nhiều', 'nữ', 'lắm', 'ha']",6
mày nghe chưa,Other,"['mày', 'nghe', 'chưa']",3
"những chuyện trọng đại trong đời . ta cứ nghe lời vợ khuyên , và làm ngược lại ắt thành công ?",Enjoyment,"['chuyện', 'trọng đại', 'đời', 'ta', 'cứ', 'nghe', 'lời', 'vợ', 'khuyên', 'làm', 'ngược lại', 'ắt', 'thành công', '?']",14
"đúng rồi , ngưng ảo tưởng",Disgust,"['đúng', 'ngưng', 'ảo tưởng']",3
chỉ có màn hình là xấu thôi,Other,"['chỉ', 'màn hình', 'xấu']",3
anh thật máu lửa cười_lăn_lộn_trên_sàn,Surprise,"['anh', 'máu lửa', 'cười_lăn_lộn_trên_sàn']",3
"quá bản lĩnh luôn , người đáng nể , tiếc là anh ấy sắp bị tử hình rồi",Sadness,"['bản lĩnh', 'luôn', 'người', 'đáng', 'nể', 'tiếc', 'anh', 'ấy', 'sắp', 'tử hình']",10
"thật là romantic , mà mà mà . sao nghĩ tới cảnh động phòng hoa chúc tao thấy nhột nhột lỗ đít bàng_hoàng",Fear,"['romantic', 'sao', 'nghĩ', 'tới', 'cảnh động', 'phòng', 'hoa', 'chúc', 'tao', 'thấy', 'nhột', 'nhột', 'lỗ', 'đít', 'bàng_hoàng']",15
"đặt mình vào vị trí của nhau , biết lo lắng suy nghĩ san sẻ cho nhau vậy là đủ rồi . có quá khó không ?",Sadness,"['đặt', 'mình', 'vào', 'vị trí', 'nhau', 'biết', 'lo lắng', 'suy nghĩ', 'san sẻ', 'nhau', 'đủ', 'khó', 'không', '?']",14
gãy tay,Sadness,"['gãy', 'tay']",2
cần có cơ quan chức năng tới để làm rõ vụ việc với ngư dân đã bắt nó,Other,"['cần', 'cơ quan chức năng', 'tới', 'để', 'làm', 'rõ', 'vụ việc', 'ngư dân', 'bắt', 'nó']",10
3 thằng ngốc . xem ý nghĩa lắm,Enjoyment,"['3', 'thằng', 'ngốc', 'xem', 'ý nghĩa', 'lắm']",6
quản_trị_viên xem ảnh ngoài đời chưa mà nói dume,Disgust,"['quản_trị_viên', 'xem', 'ảnh', 'ngoài', 'đời', 'chưa', 'nói', 'dume']",8
moá . tao muốn chết quách cho rồi,Sadness,"['moá', 'tao', 'muốn', 'chết', 'quách', 'cho rồi']",6
sao giống mình quá ta,Other,"['sao', 'giống', 'mình', 'ta']",4
cho nó cắn phát xem có thành spider man không cười_chảy_nước_mắt,Enjoyment,"['nó', 'cắn phát', 'xem', 'thành', 'spider man', 'không', 'cười_chảy_nước_mắt']",7
nghiệt ngã hơn là phi hành gia đéo tuyển mấy đứa lùn buồn,Sadness,"['nghiệt ngã', 'hơn', 'phi hành gia đéo', 'tuyển', 'mấy', 'đứa', 'lùn', 'buồn']",8
nặng tay cho chừa cái tật hại người,Disgust,"['nặng', 'tay', 'chừa', 'cái', 'tật hại', 'người']",6
tự bỏ tiền ra trồng tự cạo mủ cho chắc củ,Other,"['tự', 'bỏ', 'tiền', 'trồng', 'tự', 'cạo', 'mủ', 'chắc', 'củ']",9
thì ra ai cũng vậy không riêng mỗi tôi,Other,"['ai', 'cũng', 'không', 'riêng', 'mỗi', 'tôi']",6
có chuyện gì thê bố . bố đừng làm con sợ buồn,Fear,"['chuyện', 'gì', 'thê bố', 'bố', 'đừng', 'làm', 'con', 'sợ', 'buồn']",9
sợ vãi linh hồn,Fear,"['sợ', 'vãi', 'linh hồn']",3
biết ngay sẽ chơi cái trò mất dạy này nhưng vẫn kiên trì xem tới cùng để thách thức bản thân có sợ hay không cười,Disgust,"['biết', 'ngay', 'chơi', 'cái', 'trò', 'mất dạy', 'nhưng', 'vẫn', 'kiên trì', 'xem', 'tới', 'cùng', 'để', 'thách thức', 'bản thân', 'sợ', 'hay', 'không', 'cười']",19
nam mô a di đà phật mong hương linh cháu sớm được siêu thoát,Sadness,"['nam', 'mô a', 'di đà', 'phật', 'mong', 'hương linh', 'cháu', 'sớm', 'siêu thoát']",9
rồi mắc gì phụ nữ nghèo không đáng sợ vậy chuyện cổ tích chỉ kể tới khúc lọ lem cưới hoàng tử chứ không kể khúc sau khi kết hôn vì nó chuyển thành chuyện kinh dị rồi không còn cổ tích nữa cười cha mẹ ai chả phải già đàn bà nghèo muốn nuôi cha nuôi mẹ còn phải dòm sắc mặt của chồng,Disgust,"['mắc', 'gì', 'phụ nữ', 'nghèo', 'không', 'đáng', 'sợ', 'chuyện', 'cổ tích', 'chỉ', 'kể', 'tới', 'khúc', 'lọ', 'lem', 'cưới hoàng tử', 'chứ', 'không', 'kể', 'khúc', 'sau', 'kết hôn', 'nó', 'chuyển', 'thành', 'chuyện', 'kinh dị', 'không', 'còn', 'cổ tích', 'cười', 'cha mẹ', 'ai', 'chả', 'phải', 'già', 'đàn bà', 'nghèo', 'muốn', 'nuôi', 'cha', 'nuôi', 'mẹ', 'còn', 'phải', 'dòm', 'sắc mặt', 'chồng']",48
coi mần cái mặt kìa trời cười_lăn_lộn_trên_sàn,Other,"['coi', 'mần', 'cái', 'mặt', 'kìa trời', 'cười_lăn_lộn_trên_sàn']",6
lấy vợ xong bị tàn phá là có thật cười_toe_toét béo vãi_chưởng,Disgust,"['lấy', 'vợ', 'xong', 'tàn phá', 'cười_toe_toét', 'béo', 'vãi_chưởng']",7
cho xin miếng coi mèo said,Enjoyment,"['xin', 'miếng', 'coi', 'mèo', 'said']",5
hôm qua tao xem xong ngất xỉu tới giờ mới tĩnh chúng mày ạ hài_lòng,Sadness,"['hôm qua', 'tao', 'xem', 'xong', 'ngất xỉu', 'tới', 'giờ', 'mới', 'tĩnh', 'chúng mày', 'ạ', 'hài_lòng']",12
per cười_lăn_lộn_trên_sàn còn có quán như này luôn ah,Surprise,"['per', 'cười_lăn_lộn_trên_sàn', 'còn', 'quán', 'luôn', 'ah']",6
ahihi khá là buồn cười,Enjoyment,"['ahihi', 'khá', 'buồn cười']",3
bao năm giải phóng như thế này phải không anh,Other,"['bao', 'năm', 'giải phóng', 'thế này', 'phải', 'không', 'anh']",7
lại đây bác sĩ thương nào,Enjoyment,"['đây', 'bác sĩ', 'thương', 'nào']",4
thiết kế nghịch thiên sáng tạo đến từng chi tiết cười_chảy_nước_mắt,Enjoyment,"['thiết kế', 'nghịch thiên', 'sáng tạo', 'từng', 'chi tiết', 'cười_chảy_nước_mắt']",6
per cười haha,Enjoyment,"['per', 'cười', 'haha']",3
chúc mày mau khỏe nhá chủ thớt ạ cười,Enjoyment,"['chúc', 'mày', 'mau khỏe', 'nhá', 'chủ thớt', 'ạ', 'cười']",7
ngày cuối cùng thực sự buồn,Sadness,"['ngày', 'cuối cùng', 'thực sự', 'buồn']",4
biết sao bị xích lại rồi đó,Other,"['biết', 'sao', 'xích']",3
tưởng khoe người yêu,Disgust,"['tưởng', 'khoe', 'người yêu']",3
"à , thì ra là nó dỗ mình cười_chảy_nước_mắt",Surprise,"['à', 'thì ra', 'nó', 'dỗ', 'mình', 'cười_chảy_nước_mắt']",6
chuẩn luôn,Enjoyment,"['chuẩn', 'luôn']",2
per hồi nhỏ chuyên gia đi ngang nhà hàng xóm là bị nguyên bầy ngỗng nó dí nó rượt chạy khóc la um xùm . giờ còn ám ảnh khóc_nức_nở,Fear,"['per', 'hồi', 'nhỏ', 'chuyên gia', 'ngang', 'nhà', 'hàng xóm', 'nguyên bầy', 'ngỗng', 'nó', 'dí', 'nó', 'rượt', 'chạy', 'khóc la', 'um xùm', 'giờ', 'còn', 'ám ảnh', 'khóc_nức_nở']",20
nổi hơn ngôi sao hạng a,Other,"['nổi', 'hơn', 'ngôi sao', 'hạng', 'a']",5
đời ghét nhất thể loại ăn chặn quỵt tiền người khác . nếu không hài lòng cách dạy thì trả tiền cho đủ rồi thôi . thời gian họ bỏ ra thiệt sự quá phí,Anger,"['đời', 'ghét', 'nhất thể loại', 'ăn chặn', 'quỵt', 'tiền', 'người', 'khác', 'nếu', 'không', 'hài lòng', 'cách', 'dạy', 'trả', 'tiền', 'đủ', 'thời gian', 'họ', 'bỏ', 'thiệt sự', 'phí']",21
đi xe cao mà ý thức thấp quá !,Disgust,"['xe', 'cao', 'ý thức', 'thấp', '!']",5
"per huyền thoại , không",Enjoyment,"['per', 'huyền thoại', 'không']",3
ăn ngon nhưng nóng không chịu được,Fear,"['ăn', 'ngon', 'nhưng', 'nóng', 'không', 'chịu']",6
"thế đường không cấm đỗ , bạn lấy quyền gì không cho người ta đỗ vậy",Anger,"['thế', 'đường', 'không', 'cấm', 'đỗ', 'bạn', 'lấy', 'quyền', 'gì', 'không', 'người', 'ta', 'đỗ']",13
ta nói áp lực mặt_nước_mắt_rưng_rưng,Fear,"['ta', 'nói', 'áp lực', 'mặt_nước_mắt_rưng_rưng']",4
mày làm anh tao hơi lâu rồi đấy,Disgust,"['mày', 'làm', 'anh', 'tao', 'hơi', 'lâu', 'đấy']",7
bộ phim đáng xem đó mấy man,Enjoyment,"['bộ', 'phim', 'đáng', 'xem', 'mấy', 'man']",6
buồn cười vãi ý,Enjoyment,"['buồn', 'cười', 'vãi ý']",3
video này là để động viên mấy đứa chán đời và cuộc sống này rất nhạt ahihi,Disgust,"['video', 'để', 'động viên', 'mấy', 'đứa', 'chán đời', 'cuộc sống', 'nhạt', 'ahihi']",9
lắm ngày có trăm ngàn thôi mà dọn lòi cười_lớn vãi vả cức haizx thật,Anger,"['lắm', 'ngày', 'trăm ngàn', 'dọn', 'lòi', 'cười_lớn', 'vãi vả', 'cức', 'haizx']",9
vật chất quyết định ý thức,Other,"['vật chất', 'quyết định', 'ý thức']",3
và israel và mỹ không cho cả viện trợ nhân đạo,Other,"['israel', 'mỹ', 'không', 'cả', 'viện trợ', 'nhân đạo']",6
liên quan đéo gì . trung thu tết đoàn viên gia đình chứ đoàn viên người yêu đéo đâu .,Anger,"['liên quan', 'đéo', 'gì', 'trung thu', 'tết', 'đoàn viên', 'gia đình', 'chứ', 'đoàn viên', 'người yêu', 'đéo', 'đâu']",12
nhìn ảnh này tao lại thấy buồn nôn,Disgust,"['nhìn', 'ảnh', 'tao', 'thấy', 'buồn nôn']",5
cầu mong chú có cuộc sống tốt hơn,Enjoyment,"['cầu', 'mong chú', 'cuộc sống', 'tốt', 'hơn']",5
thử im lặng xem như nào,Other,"['thử', 'im lặng', 'xem', 'nào']",4
tuổi trẻ tài cao cười,Enjoyment,"['tuổi trẻ', 'tài', 'cao', 'cười']",4
cái tháng học sấp mặt luôn,Sadness,"['cái', 'tháng', 'học', 'sấp', 'mặt', 'luôn']",6
trẻ trâu chấp nó làm gì,Disgust,"['trẻ', 'trâu', 'chấp', 'nó', 'làm', 'gì']",6
nguyên nhân là gì vậy ?,Other,"['nguyên nhân', 'gì', '?']",3
tuyệt mẹ nó vời kaka unô vện vàng 3 geo khóc thét cười_rạng_rỡ cười,Enjoyment,"['tuyệt mẹ', 'nó', 'vời', 'kaka', 'unô', 'vện', 'vàng', '3', 'geo', 'khóc', 'thét cười_rạng_rỡ', 'cười']",12
nhắn số tài khoản rồi có chuyển 5 nghìn vào tài khoản là trật quớt nhé cười,Disgust,"['nhắn', 'số', 'tài khoản', 'chuyển', '5', 'nghìn', 'vào', 'tài khoản', 'trật', 'quớt', 'nhé', 'cười']",12
liêm sĩ gì tầm này,Disgust,"['liêm sĩ', 'gì', 'tầm']",3
may còn cái quần trong cười_chảy_nước_mắt,Surprise,"['may', 'còn', 'cái', 'quần', 'cười_chảy_nước_mắt']",5
tiên học lễ hậu hăn văn đâu ở mỹ những bang đỏ ở trường đều dạy tôn giáo và giá trị con người không hiểu sao ở việt nam bỏ đi giá trị này,Sadness,"['tiên học', 'lễ', 'hậu hăn', 'văn đâu', 'mỹ', 'bang', 'đỏ', 'trường', 'đều', 'dạy', 'tôn giáo', 'giá trị', 'con người', 'không', 'hiểu', 'sao', 'việt nam', 'bỏ', 'giá trị']",19
chà cười,Enjoyment,"['chà', 'cười']",2
bỏ quên não đó chứ đâu phải rác cười_chảy_nước_mắt,Disgust,"['bỏ', 'quên', 'não', 'chứ', 'đâu', 'phải', 'rác', 'cười_chảy_nước_mắt']",8
dở hơi,Disgust,"['dở', 'hơi']",2
ôi cháu tao cười,Enjoyment,"['ôi', 'cháu', 'tao', 'cười']",4
đúng là mỹ nhanh gọn dứt khoát,Enjoyment,"['đúng', 'mỹ', 'nhanh', 'gọn', 'dứt khoát']",5
ác vãi,Disgust,"['ác', 'vãi']",2
"cũng có khi chơi với con gái ít vì nó quá xấu tính đéo con nào thèm chơi với nó , chỉ có thể chơi được với bọn con trai",Disgust,"['cũng', 'có khi', 'chơi', 'con', 'gái', 'ít', 'nó', 'xấu tính', 'đéo', 'con', 'nào', 'thèm', 'chơi', 'nó', 'chỉ', 'có thể', 'chơi', 'bọn', 'con', 'trai']",20
bé rất tự tin và bản lĩnh đấy khả năng sau này là người thành công rất cao vỗ_tay,Enjoyment,"['bé', 'tự tin', 'bản lĩnh', 'đấy', 'khả năng', 'sau này', 'người', 'thành công', 'cao vỗ_tay']",9
cười vào mặt mấy đứa không có người yêu cười,Enjoyment,"['cười', 'vào', 'mặt', 'mấy', 'đứa', 'không', 'người yêu', 'cười']",8
chắc chắn 2 đứa sẽ rất hạnh phúc nhìn nụ cười của họ là tôi biết,Disgust,"['chắc chắn', '2', 'đứa', 'hạnh phúc', 'nhìn', 'nụ', 'cười', 'họ', 'tôi', 'biết']",10
loại cửa đó cười cái khung sắt cứng không tả nổi . đen lắm bung cả cửa ra thôi .,Other,"['loại', 'cửa', 'cười', 'cái', 'khung', 'sắt', 'cứng', 'không', 'tả', 'nổi', 'đen', 'lắm', 'bung', 'cả', 'cửa']",15
công nhận sáng tạo thật đấy,Enjoyment,"['công nhận', 'sáng tạo', 'đấy']",3
chỉ cần yên bình như thế này thôi . tim tim tim,Enjoyment,"['chỉ', 'cần', 'yên bình', 'thế này', 'tim', 'tim', 'tim']",7
sáng nay mình cũng gặp 1 anh công an dễ thương lắm,Enjoyment,"['sáng', 'nay', 'mình', 'cũng', 'gặp', '1', 'anh', 'công an', 'dễ thương', 'lắm']",10
"kết nó ở cái câu đất nước gia lai là một đất nước giàu tài nguyên , có anh per vô_cảm",Enjoyment,"['kết', 'nó', 'cái', 'câu', 'đất nước', 'gia lai', 'đất nước', 'giàu', 'tài nguyên', 'anh', 'per', 'vô_cảm']",12
anh dương fg đó hả cười,Surprise,"['anh', 'dương fg', 'hả', 'cười']",4
nhảy tuột quần là có thiệt,Surprise,"['nhảy', 'tuột', 'quần', 'thiệt']",4
nằm ngó miệng kiểu đó ai dám ăn ?,Disgust,"['nằm', 'ngó', 'miệng', 'kiểu', 'ai', 'dám', 'ăn', '?']",8
per coi phim này chắc chết luôn trong rạp,Fear,"['per', 'coi', 'phim', 'chắc', 'chết', 'luôn', 'rạp']",7
a cứ đưa hết lương đây cho em cười em sẽ cho anh tiền rửa bát,Enjoyment,"['a', 'cứ', 'đưa', 'hết', 'lương', 'đây', 'em', 'cười', 'em', 'anh', 'tiền', 'rửa', 'bát']",13
"kaka bạn này best bán hành luôn kaka . bó tay . miệng nói một đường , não nghỉ một lối",Disgust,"['kaka', 'bạn', 'best', 'bán hành', 'luôn', 'kaka', 'bó tay', 'miệng', 'nói', 'đường', 'não', 'nghỉ', 'lối']",13
2 thế kỷ mới xây được vậy mà chỉ trong 63 phút tiêu tan hết buồn,Sadness,"['2', 'thế kỷ', 'mới', 'xây', 'vậy mà', 'chỉ', '63', 'phút', 'tiêu tan', 'hết', 'buồn']",11
chồng này cắt kiu nó đi kaka,Anger,"['chồng', 'cắt', 'kiu', 'nó', 'kaka']",5
không cho giáo viên cái quyền gì thì lấy gì mà dạy nhất là thời buổi lố lăng như bây giờ . nó quỳ lúc nhỏ khi nó sai còn sửa được đợi lớn lên thì bố mẹ quỳ nhìn nó vào nhà đá,Anger,"['không', 'giáo viên', 'cái', 'quyền', 'gì', 'lấy', 'gì', 'dạy', 'nhất', 'thời buổi', 'lố lăng', 'bây giờ', 'nó', 'quỳ', 'lúc', 'nhỏ', 'nó', 'sai', 'còn', 'sửa', 'đợi', 'lớn', 'lên', 'bố mẹ', 'quỳ', 'nhìn', 'nó', 'vào', 'nhà', 'đá']",30
đổi chồng đi chị em vote thằng kia bị thái dối,Disgust,"['đổi', 'chồng', 'chị em', 'vote', 'thằng', 'thái dối']",6
hỏi nhây khiếp,Disgust,"['hỏi', 'nhây', 'khiếp']",3
"con mong bác dù nghèo nhưng sống luôn luôn v , chúc bác 1 đời bình an",Enjoyment,"['con', 'mong', 'bác', 'dù', 'nghèo', 'nhưng', 'sống', 'luôn luôn', 'v', 'chúc', 'bác', '1', 'đời', 'bình an']",14
thằng kia lắm lông quá nha cười,Disgust,"['thằng', 'lắm', 'lông', 'nha', 'cười']",5
nhìn nó cưng quá,Enjoyment,"['nhìn', 'nó', 'cưng']",3
ngày xưa đi học văn và toán chắc noa dưới trung bình hết,Disgust,"['ngày xưa', 'học văn', 'toán', 'chắc', 'noa', 'dưới', 'trung bình', 'hết']",8
sớm bình phục nhé,Other,"['sớm', 'bình phục', 'nhé']",3
điều quan trọng ở đây là mày cần sạc điện thoại kìa,Other,"['điều', 'quan trọng', 'đây', 'mày', 'cần', 'sạc', 'điện thoại', 'kìa']",8
cay hơn ăn ớt tan_chảy,Anger,"['cay', 'hơn', 'ăn', 'ớt', 'tan_chảy']",5
ê sao đi đâu cũng chị kế toán trưởng đi vậy không ấy mình chọn ngành khác được không riết rồi ai chọn làm kế toán trưởng nữa tôi tôi,Sadness,"['ê sao', 'đâu', 'cũng', 'chị', 'kế toán trưởng', 'không', 'ấy', 'mình', 'chọn', 'ngành', 'khác', 'không', 'riết', 'ai', 'chọn', 'làm', 'kế toán trưởng', 'tôi', 'tôi']",19
ờ công nhận đáng sợ vãi khóc_nức_nở,Fear,"['ờ', 'công nhận', 'đáng', 'sợ', 'vãi', 'khóc_nức_nở']",6
dăm ba cái kỉu đây hồi nhỏ tao đốt chấy vài á mà cười_rạng_rỡ,Enjoyment,"['dăm ba', 'cái', 'kỉu', 'đây', 'hồi', 'nhỏ', 'tao', 'đốt', 'chấy', 'vài', 'á', 'cười_rạng_rỡ']",12
may quá tao không xài huawei không,Enjoyment,"['may', 'tao', 'không', 'xài', 'huawei', 'không']",6
sao nó mới vậy,Surprise,"['sao', 'nó', 'mới']",3
vãi idol một thời của tôi thì ra là cầu hôn thế nào à,Surprise,"['vãi', 'idol', 'thời', 'tôi', 'thì ra', 'cầu', 'hôn thế nào', 'à']",8
tội cho cô gái ;,Sadness,"['tội', 'cô', 'gái']",3
tôi đã cười và cười rất nhiều,Enjoyment,"['tôi', 'cười', 'cười', 'nhiều']",4
per nhìn quen quen mày ơi,Surprise,"['per', 'nhìn', 'quen quen', 'mày', 'ơi']",5
cả 2 đứa đều ngu khi có mồm mà không nói,Disgust,"['cả', '2', 'đứa', 'đều', 'ngu', 'mồm', 'không', 'nói']",8
"cứ đem lửa than , nước chay , sau đó cắt ngay ra ăn chấm muối là ngon , vẽ chuyện kiến với chả ong .",Disgust,"['cứ', 'đem', 'lửa', 'than', 'nước', 'chay', 'sau', 'cắt', 'ngay', 'ăn chấm', 'muối', 'ngon', 'vẽ', 'chuyện kiến', 'chả ong']",15
đây là kiểu tự tay bóp dái nè,Other,"['đây', 'kiểu', 'tự', 'tay', 'bóp', 'dái', 'nè']",7
chúng ta thật hạnh phúc và luôn đi chung với nhau suốt chặn đường dài rồi đó nà ?,Enjoyment,"['chúng ta', 'hạnh phúc', 'luôn', 'chung', 'nhau', 'suốt', 'chặn', 'đường', 'dài', 'nà', '?']",11
nắng quá chứ bộ ai muốn,Other,"['nắng', 'chứ', 'bộ', 'ai', 'muốn']",5
